Champions League,Betfair,Manchester City,Basel, 1.08 , 8.0 , 19.0 
Champions League,Betfair,Tottenham,Juventus, 2.1 , 3.4 , 3.6 
Champions League,Betfair,Roma,Shaktar, 1.61 , 3.6 , 4.5 
Champions League,Betfair,Manchester United,Sevilla, 1.61 , 3.6 , 4.75 
Champions League,Betfair,Besiktas,Bayern Munich, 6.0 , 4.33 , 1.36 
Champions League,Betfair,Barcelona,Chelsea, 1.4 , 4.33 , 6.0 
Premier,Betfair,Arsenal,Manchester City, 4.6 , 4.2 , 1.75 
Premier,Betfair,Burnley,Everton, 2.55 , 3.1 , 3.1 
Premier,Betfair,Leicester,Bournemouth, 1.85 , 3.8 , 4.33 
Premier,Betfair,Watford,West Brom Albion, 2.1 , 3.3 , 3.75 
Premier,Betfair,Swansea,West ham, 2.5 , 3.1 , 3.0 
Premier,Betfair,Southampton,Stoke City, 1.75 , 3.7 , 5.0 
Premier,Betfair,Tottenham,Huddersfield town, 1.18 , 7.0 , 18.0 
Premier,Betfair,Liverpool,Newcastle, 1.2 , 7.0 , 14.0 
Premier,Betfair,Brighton,Arsenal, 4.2 , 3.75 , 1.85 
Premier,Betfair,Manchester City,Chelsea, 1.61 , 4.2 , 5.5 
Premier,Betfair,Crystal Palace,Manchester United, 6.5 , 4.0 , 1.55 
Premier,Betfair,Manchester United,Liverpool, 2.3 , 3.2 , 2.7 
Premier,Betfair,West Brom Albion,Leicester, 2.9 , 3.2 , 2.55 
Premier,Betfair,Huddersfield town,Swansea, 2.45 , 3.1 , 3.1 
Premier,Betfair,Newcastle,Southampton, 2.55 , 3.3 , 2.87 
Premier,Betfair,Everton,Brighton, 1.95 , 3.3 , 4.2 
Premier,Betfair,West ham,Burnley, 2.1 , 2.87 , 3.5 
Premier,Betfair,Chelsea,Crystal Palace, 1.25 , 6.0 , 11.0 
Premier,Betfair,Arsenal,Watford, 1.28 , 4.75 , 8.0 
Premier,Betfair,Bournemouth,Tottenham, 5.0 , 4.0 , 1.5 
Premier,Betfair,Stoke City,Manchester City, 10.5 , 5.5 , 1.18 
Serie A,Betfair,SPAL,Bolonia, 2.4 , 3.2 , 3.3 
Serie A,Betfair,Lazio,Juventus, 3.6 , 3.3 , 2.2 
Serie A,Betfair,Napoles,Roma, 1.6 , 4.1 , 6.0 
Serie A,Betfair,Genova,Cagliari, 1.85 , 3.4 , 4.75 
Serie A,Betfair,Udinese,Fiorentina, 3.25 , 3.25 , 2.3 
Serie A,Betfair,Benevento,Hellas Verona, 2.1 , 3.5 , 3.4 
Serie A,Betfair,Torino,Crotone, 1.4 , 4.6 , 8.0 
Serie A,Betfair,Chievo,Sassuolo, 2.4 , 3.2 , 3.1 
Serie A,Betfair,Atalanta,Sampdoria, 1.75 , 3.75 , 4.75 
Serie A,Betfair,AC Milan,Inter de Mil�n, 2.6 , 3.1 , 2.9 
Serie A,Betfair,Roma,Torino, 1.55 , 3.8 , 5.0 
Serie A,Betfair,Hellas Verona,Chievo, 3.1 , 3.2 , 2.1 
Serie A,Betfair,Fiorentina,Benevento, 1.2 , 5.5 , 10.5 
Serie A,Betfair,Sassuolo,SPAL, 1.8 , 3.3 , 4.0 
Serie A,Betfair,Juventus,Udinese, 1.2 , 5.0 , 10.5 
Serie A,Betfair,Cagliari,Lazio, 5.0 , 3.6 , 1.57 
Serie A,Betfair,Bolonia,Atalanta, 3.8 , 3.2 , 1.9 
Serie A,Betfair,Genova,AC Milan, 3.0 , 2.9 , 2.3 
Serie A,Betfair,Inter de Mil�n,Napoles, 3.3 , 3.3 , 1.95 
Bundesliga,Betfair,Monchengladbach,Werder Bremen, 1.9 , 3.6 , 4.33 
Bundesliga,Betfair,Wolfsburg,Bayern Leverkusen, 3.3 , 3.5 , 2.15 
Bundesliga,Betfair,Schalke 04,Hertha Berlin, 1.61 , 3.8 , 6.0 
Bundesliga,Betfair,Frankfurt,Hannover 96, 1.75 , 3.7 , 4.75 
Bundesliga,Betfair,Hamburg,Mainz 05, 2.25 , 3.2 , 3.5 
Bundesliga,Betfair,Ausburg,Hoffenheim, 2.55 , 3.3 , 2.8 
Bundesliga,Betfair,RB Leipzig,Borussia Dormund, 2.55 , 3.6 , 2.62 
Bundesliga,Betfair,Colonia,Stuttgart, 2.4 , 3.3 , 3.0 
Bundesliga,Betfair,Friburgo,Bayern Munchen, 11.0 , 5.5 , 1.28 
Bundesliga,Betfair,Mainz 05,Schalke 04, 2.87 , 3.3 , 2.2 
Bundesliga,Betfair,Hoffenheim,Wolfsburg, 1.75 , 3.6 , 3.9 
Bundesliga,Betfair,Bayern Munchen,Hamburg, 1.07 , 8.0 , 21.0 
Bundesliga,Betfair,Hertha Berlin,Friburgo, 2.1 , 3.2 , 3.2 
Bundesliga,Betfair,Hannover 96,Ausburg, 2.3 , 3.2 , 2.8 
Bundesliga,Betfair,Stuttgart,RB Leipzig, 2.75 , 3.2 , 2.3 
Bundesliga,Betfair,Borussia Dormund,Frankfurt, 1.5 , 4.0 , 5.0 
Ligue 1,Betfair,Niza,Lille, 1.8 , 3.5 , 5.0 
Ligue 1,Betfair,Monaco,Bordeaux, 1.6 , 4.2 , 5.5 
